1.0.2.0/24, 1
1.116.139.0/24, 1
1.116.238.0/24, 1
1.116.240.0/24, 1
1.116.55.0/24, 1
1.116.82.0/24, 1
1.117.117.0/24, 2
1.117.230.0/24, 1
1.117.231.0/24, 1
1.117.232.0/24, 1
1.117.236.0/24, 1
1.117.27.0/24, 1
1.117.44.0/24, 1
1.117.60.0/24, 1
1.117.64.0/24, 1
1.12.181.0/24, 1
1.12.219.0/24, 1
1.12.221.0/24, 1
1.12.233.0/24, 1
1.12.243.0/24, 1
1.12.248.0/24, 1
1.12.44.0/24, 1
1.12.55.0/24, 1
1.12.65.0/24, 1
1.12.77.0/24, 1
1.128.23.0/24, 1
1.13.14.0/24, 1
1.13.152.0/24, 3
1.13.154.0/24, 1
1.13.160.0/24, 1
1.13.161.0/24, 1
1.13.164.0/24, 1
1.13.168.0/24, 1
1.13.169.0/24, 1
1.13.17.0/24, 1
1.13.175.0/24, 1
1.13.177.0/24, 3
1.13.178.0/24, 1
1.13.180.0/24, 1
1.13.181.0/24, 3
1.13.182.0/24, 1
1.13.184.0/24, 2
1.13.185.0/24, 1
1.13.186.0/24, 1
1.13.187.0/24, 1
1.13.188.0/24, 1
1.13.189.0/24, 1
1.13.192.0/24, 1
1.13.193.0/24, 1
1.13.194.0/24, 1
1.13.196.0/24, 1
1.13.197.0/24, 1
1.13.198.0/24, 2
1.13.24.0/24, 1
1.13.245.0/24, 1
1.13.249.0/24, 1
1.13.250.0/24, 1
1.13.251.0/24, 3
1.13.252.0/24, 1
1.13.255.0/24, 4
1.13.79.0/24, 1
1.13.80.0/24, 2
1.14.106.0/24, 1
1.14.110.0/24, 1
1.14.13.0/24, 1
1.14.16.0/24, 1
1.14.190.0/24, 1
1.14.193.0/24, 1
1.14.198.0/24, 1
1.14.202.0/24, 1
1.14.204.0/24, 1
1.14.205.0/24, 1
1.14.208.0/24, 1
1.14.224.0/24, 1
1.14.250.0/24, 1
1.14.58.0/24, 1
1.14.6.0/24, 1
1.14.67.0/24, 1
1.14.69.0/24, 1
1.14.71.0/24, 1
1.14.96.0/24, 2
1.14.98.0/24, 1
1.145.110.0/24, 1
1.145.78.0/24, 1
1.15.134.0/24, 1
